start,end,density,mass
-1.708,-1.7025533333333334,49.88547092802752,0.2717095316546532
-1.4846866666666667,-1.4792399999999999,0.001357856241395573,7.395790328134765e-06
-1.4792399999999999,-1.4737933333333333,0.0526309688062423,0.00028666334343132953
-1.4737933333333333,-1.4683466666666667,0.07800659831714807,0.00042487593883406123
-1.4683466666666667,-1.4628999999999999,0.09594981128535916,0.0005226066388009378
-1.4628999999999999,-1.4574533333333333,0.10975211150950187,0.0005977831673550795
-1.4574533333333333,-1.4520066666666667,0.12103440277664247,0.0006592340471234379
-1.4520066666666667,-1.4465599999999998,0.13039911218057482,0.0007102404976768844
-1.4465599999999998,-1.4411133333333332,0.13853937593573137,0.000754577800929941
-1.4411133333333332,-1.4356666666666666,0.14559446567889625,0.0007930045230643785
-1.4356666666666666,-1.43022,0.15175105650237825,0.0008265374210829434
-1.43022,-1.4247733333333332,0.15721636149470178,0.0008563051156078334
-1.4247733333333332,-1.4193266666666666,0.16198009902518654,0.0008822516060238384
-1.4193266666666666,-1.41388,0.1663457871078269,0.0009060300537806194
-1.41388,-1.4084333333333334,0.1702231131506828,0.0009271485562940409
-1.4084333333333334,-1.4029866666666666,0.1737054242800252,0.0009461155442452308
-1.4029866666666666,-1.39754,0.17684440952857558,0.0009632125505656298
-1.39754,-1.3920933333333334,0.17966096024867134,0.0009785533634877512
-1.3920933333333334,-1.3866466666666666,0.18224793324167884,0.0009926437430563724
-1.3866466666666666,-1.3812,0.18458177965014247,0.0010053554264944304
-1.3812,-1.3757533333333334,0.18669922539749537,0.0010168884476650123
-1.3757533333333334,-1.3703066666666666,0.18861545520353126,0.0010273255126752629
-1.3703066666666666,-1.36486,0.1903567113844105,0.001036809554673743
-1.36486,-1.3594133333333334,0.19195549793134678,0.001045517612066056
-1.3594133333333334,-1.3539666666666665,0.19340314531182912,0.0010534024647984592
-1.3539666666666665,-1.34852,0.19472095354572927,0.001060580126979059
-1.34852,-1.3430733333333333,0.19590975081521775,0.0010670551094402062
-1.3430733333333333,-1.3376266666666665,0.19699703964636825,0.0010729772092739163
-1.3376266666666665,-1.33218,0.19798875889393633,0.0010783787734422933
-1.33218,-1.3267333333333333,0.19888435841096472,0.0010832568054783744
-1.3267333333333333,-1.3212866666666667,0.19969735233426814,0.0010876849123806337
-1.3212866666666667,-1.31584,0.20042355771151749,0.0010916403110020963
-1.31584,-1.3103933333333333,0.2010876885000918,0.0010952576100304865
-1.3103933333333333,-1.3049466666666667,0.20168498207261973,0.0010985108690221887
-1.3049466666666667,-1.2995,0.20221861028602403,0.0011014173640245307
-1.2995,-1.2940533333333333,0.2026973414383416,0.0011040248530341987
-1.2940533333333333,-1.2886066666666667,0.20311646787228935,0.0011063076950110556
-1.2886066666666667,-1.28316,0.20349530061762708,0.0011083710706973286
-1.28316,-1.2777133333333333,0.20382614839460905,0.0011101730882560022
-1.2777133333333333,-1.2722666666666667,0.20411511005592411,0.0011117469661045863
-1.2722666666666667,-1.26682,0.20436217417539138,0.001113092642008618
-1.26682,-1.2613733333333332,0.2045779264748324,0.0011142677728662855
-1.2613733333333332,-1.2559266666666666,0.20474817663283965,0.0011151950687268528
-1.2559266666666666,-1.25048,0.20490175371559563,0.0011160315519042638
-1.25048,-1.2450333333333332,0.2050173070157668,0.001116660932212575
-1.2450333333333332,-1.2395866666666666,0.20510663791338074,0.0011171474878348667
-1.2395866666666666,-1.23414,0.20516851083719817,0.0011174844890265922
-1.23414,-1.2286933333333332,0.20520959466753208,0.0011177082589558566
-1.2286933333333332,-1.2232466666666666,0.20522130837370967,0.0011177720596087916
-1.2232466666666666,-1.2178,0.20522207757996555,0.0011177762492188654
-1.2178,-1.2123533333333334,0.20518686305994038,0.0011175844474664615
-1.2123533333333334,-1.2069066666666668,0.20515689184015845,0.001117421204222716
-1.2069066666666668,-1.20146,0.20508998707974954,0.001117056796294401
-1.20146,-1.1960133333333332,0.20501643240304734,0.0011166561684886297
-1.1960133333333332,-1.1905666666666668,0.20491795011832312,0.001116119768311074
-1.1905666666666668,-1.18512,0.20481654948536696,0.0011155674728636638
-1.18512,-1.1796733333333334,0.20469233543414223,0.001114890920331281
-1.1796733333333334,-1.1742266666666668,0.20456056617800544,0.0011141732171161894
-1.1742266666666668,-1.16878,0.2044144656199124,0.0011133774560764878
-1.16878,-1.1633333333333333,0.20425757143151754,0.0011125229057303186
-1.1633333333333333,-1.1578866666666667,0.20408955375993823,0.0011116077694791166
-1.1578866666666667,-1.15244,0.20391125419799358,0.0011106366311984367
-1.15244,-1.1469933333333333,0.20372177871258068,0.0011096046213878424
-1.1469933333333333,-1.1415466666666667,0.20353073392655205,0.0011085640641199399
-1.1415466666666667,-1.1360999999999999,0.20332328173389042,0.001107434141177288
-1.1360999999999999,-1.1306533333333333,0.2031108556484929,0.0011062771270987778
-1.1306533333333333,-1.1252066666666667,0.20288927880292296,0.0011050702718799067
-1.1252066666666667,-1.1197599999999999,0.20266497909491735,0.0011038485861370145
-1.1197599999999999,-1.1143133333333333,0.20243202723915785,0.0011025797750292663
-1.1143133333333333,-1.1088666666666667,0.20217989457730662,0.0011012064924643833
-1.1088666666666667,-1.1034199999999998,0.2019473224568119,0.0010999397496481336
-1.1034199999999998,-1.0979733333333335,0.20168695056695982,0.0010985215907546495
-1.0979733333333335,-1.0925266666666666,0.20143489190133837,0.0010971487112226542
-1.0925266666666666,-1.0870799999999998,0.20116966626105795,0.0010957041155685934
-1.0870799999999998,-1.0816333333333334,0.20090237396596883,0.0010942482635345856
